Pregunta,Respuesta,Área,Tipo Solución,Estado_QA
Se solicita validar el acceso de un usuario al sistema.,"Para gestionar el alta de usuario en la aplicación Actividad PRO, por favor, envía un ticket desde el portal Promesa a la OAU. Asegúrate de incluir el nombre del usuario y describir claramente el problema que estás experimentando. Si requieres un alta diferente favor de incluir el nombre de la aplicación",Soporte,ALTA,solucion
"Se solicita validar el acceso o configuración de las aplicaciones de Power Apps y el plan de gestión para un usuario, posiblemente un analista de calidad.","Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,ASESOR,asesor
Se solicita validar si un usuario ya tiene acceso a un sistema o plataforma.,"Para gestionar el alta de usuario en la aplicación Actividad PRO, por favor, envía un ticket desde el portal Promesa a la OAU. Asegúrate de incluir el nombre del usuario y describir claramente el problema que estás experimentando. Si requieres un alta diferente favor de incluir el nombre de la aplicación",Soporte,ALTA,solucion
Solicita apoyo para el alta de niveles en Power Apps.,"Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,ASESOR,asesor
Solicitud de acceso a ConsultApp para varios asesores.,"Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,ASESOR,asesor
Solicitud de acceso a Espacio Pro y Tarjetas Digitales para colaboradores.,"Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,ALTA,asesor
Solicitud de acceso a la aplicación de consulta para varios asesores identificados por números.,"Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,ASESOR,asesor
Solicitud de alta de 2 usuarios al acompañamiento de niveles.,"Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,TICKET OAU,asesor
Solicitud para la obtención de accesos a los aplicativos Actividad y Traspasos Pro para asesores recién certificados.,Es necesario compartir un ticket a la OAU a traves del portal promesa ya que ellos son los unicos autorizados de brindar las altas solicitadas,Soporte,TICKET OAU,solucion
Solicitud para que las asesoras tengan acceso a la aplicación NRP en Power Apps para la consulta de patronales.,"Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,ASESOR,asesor
"Un asesor cambió su contraseña recientemente y, aunque Traspasos Pro funciona, Actividad Pro sigue bloqueado después del desbloqueo.","Validar que el usuario esté entrando con su cuenta institucional correcta y, si persiste, levantar un ticket en promesa. Adicionalmente, se solicitan indicaciones para resolver el problema de acceso.",Soporte,ASESOR,solucion
"Un asesor eliminó un registro en Actividad Pro y al intentar capturarlo nuevamente aparece que la CURP ya es cliente Profuturo, pero en traspasos Pro si permite el acceso.",El acceso a Power Apps fue solucionado. El acceso a Actividad Pro debe solicitarse a través de un ticket con la OAU desde la página de Promesa.,Soporte,TICKET OAU,solucion
Un asesor específico (162968) reporta que sigue sin tener acceso al sistema a pesar de las validaciones.,Recordemos que todo tema de Acceso es atendido por la OAU por medio de un ticket,Soporte,TICKET OAU,solucion
Un asesor no puede acceder a la aplicación CONSULTAPP en Powerapps.,"Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,ASESOR,asesor
Un asesor no puede ingresar a Actividad Pro en un dispositivo IOS.,Se solicita la desloquear la cuenta por el enlacede o enviar ticket a la OAU.,Soporte,TICKET OAU,solucion
"Un asesor no tiene acceso a Actividad Pro, indicando error de usuario y contraseña a pesar de tener acceso a Okta.","Se debe validar con la OAU, ya que son los encargados de los accesos. Como recomendación, se puede intentar cambiar la contraseña desde Okta con la estructura correcta.",Soporte,CONTRASEÑA,solucion
Un asesor no tiene acceso a la plataforma.,"Si el acceso es para la aplicación de Actividad PRO, levanta un ticket con OAU solicitando el alta.",Soporte,TICKET OAU,solucion
Un asesor previsional no tiene acceso a las apps de Power Apps y le aparece el catálogo vacío.,"Para agilizar la solicitud, comparte la siguiente información de tu asesor:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,ASESOR,asesor
Un asesor recién acreditado no tiene accesos al sistema. ¿Qué información se requiere para solucionar este problema?,Se debe mandar un ticket a la OAU solicitando el alta para que puedan brindar el acceso a la herramienta.,Soporte,TICKET OAU,solucion
Un asesor tiene su cuenta bloqueada en Actividad Pro y no puede desbloquearla con el enlace proporcionado.,"Para problemas de acceso y desbloqueo de cuenta que no se resuelven con el enlace, es necesario levantar un ticket con la OAU.",Soporte,TICKET OAU,solucion
Un colaborador recién certificado no puede acceder al sistema a pesar de haber cambiado su contraseña y haber intentado el proceso de desbloqueo.,"Se debe validar con la OAU, ya que son los encargados de los accesos. Como recomendación, se puede intentar cambiar la contraseña desde Okta con la estructura correcta.",Soporte,TICKET OAU,solucion
Un usuario solicita la validación y el otorgamiento de acceso al sistema para un segundo asesor,"Para gestionar el alta de usuario en la aplicación Actividad PRO, por favor, envía un ticket desde el portal Promesa a la OAU. Asegúrate de incluir el nombre del usuario y describir claramente el problema que estás experimentando. Si requieres un alta diferente favor de incluir el nombre de la aplicación",Soporte,ALTA,solucion
"Una AP recién certificada no puede ingresar a Actividad Pro para agendar citas y enviar EDR, a pesar de haberlo hecho previamente.","Si no puedes ingresar a Actividad Pro, compártenos el mensaje de error que se muestra para poder sugerirte acciones inmediatas. Recordemos que todo tema de Acceso es atendido por la OAU por medio de un ticket",Soporte,CONTRASEÑA,solucion
Una asesora está bloqueada fuera de su cuenta y necesita un cambio de contraseña urgentemente porque tiene un cliente.,recordemos que la OAU atiende todo caso de acceso y puede demorar maximo 48hrs habiles en atenderlos.,Soporte,TICKET OAU,solucion
Una asesora no puede acceder a Actividad PRO por un error en su usuario y/o contraseña.,"Se recomienda cambiar la contraseña desde OKTA con la estructura correspondiente. Si el problema persiste, se debe levantar un ticket a la OAU.",Soporte,CONTRASEÑA,solucion
"Una asesora no puede acceder a Actividad Pro para enviar EDR con su contraseña, aunque sí puede acceder a Traspasos Pro.",Recordemos que todo tema de Acceso es atendido por la OAU por medio de un ticket,Soporte,ASESOR,solucion
Usuario requiere acceso al número 194906 al plan de gestión.,"Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,ASESOR,asesor
Usuario solicita acceso a la aplicación NRP en Power Apps para consulta de empresas.,"Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,ASESOR,asesor
Validación de acceso para un grupo de usuarios donde uno reportaba falta de permisos.,"Para que los analistas de calidad certificados puedan obtener acceso a la herramienta Actividad Pro, se debe levantar un ticket con la AOU solicitando dicho acceso.",Soporte,TICKET OAU,solucion
Validar acceso a aplicaciones después de haber realizado cambios.,"Para gestionar el alta de usuario en la aplicación Actividad PRO, por favor, envía un ticket desde el portal Promesa a la OAU. Asegúrate de incluir el nombre del usuario y describir claramente el problema que estás experimentando. Si requieres un alta diferente favor de incluir el nombre de la aplicación",Soporte,ALTA,solucion
Validar acceso del usuario a la plataforma de actividad PRO.,"Para gestionar el alta de usuario en la aplicación Actividad PRO, por favor, envía un ticket desde el portal Promesa a la OAU. Asegúrate de incluir el nombre del usuario y describir claramente el problema que estás experimentando. Si requieres un alta diferente favor de incluir el nombre de la aplicación",Soporte,ALTA,solucion
Validar el acceso a la tarjeta digital de varios asesores que no lo tienen.,"Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,ASESOR,asesor
Validar que los asesores tengan acceso a las herramientas de power apps y se encuentren en la sección de todas las aplicaciones.,Es necesario borrar caché del navegador e ingresar nuevamente al sistema.,Soporte,BORRAR CACHÉ,solucion
Validar que los usuarios especificados ya tengan acceso a la plataforma de Actividad PRO por recien certificacion.,"Las altas son realizadas por la OAU de forma masiva. Si el alta no se refleja en los próximos días, se deberá enviar un ticket a través de la plataforma Promesa.",Soporte,TICKET OAU,solucion
Validar que se ha otorgado acceso.,"Para gestionar el alta de usuario en la aplicación Actividad PRO, por favor, envía un ticket desde el portal Promesa a la OAU. Asegúrate de incluir el nombre del usuario y describir claramente el problema que estás experimentando. Si requieres un alta diferente favor de incluir el nombre de la aplicación",Soporte,ALTA,solucion
Validar si el usuario tiene acceso a Actividad PRO,"Para gestionar el alta de usuario en la aplicación Actividad PRO, por favor, envía un ticket desde el portal Promesa a la OAU. Asegúrate de incluir el nombre del usuario y describir claramente el problema que estás experimentando. Si requieres un alta diferente favor de incluir el nombre de la aplicación",Soporte,ALTA,solucion
Validar si el usuario tiene acceso a la plataforma.,"Para gestionar el alta de usuario en la aplicación Actividad PRO, por favor, envía un ticket desde el portal Promesa a la OAU. Asegúrate de incluir el nombre del usuario y describir claramente el problema que estás experimentando. Si requieres un alta diferente favor de incluir el nombre de la aplicación",Soporte,ALTA,solucion
Validar si el usuario tiene acceso a las aplicaciones después de una posible actualización.,Recordemos que todo tema de acceso es atendido unicamente por la OAU a traves de un ticket por la plataforma de promesa,Soporte,TICKET OAU,solucion
Validar si el usuario tiene acceso al sistema de Actividad PRO.,"Las altas son realizadas por la OAU de forma masiva para los casos de recien certificados. Si el alta no se refleja en los próximos días, se deberá enviar un ticket a través de la plataforma Promesa.",Soporte,TICKET OAU,solucion
Validar si el usuario tiene acceso al sistema.,"Las altas son realizadas por la OAU de forma masiva para los casos de recien certificados. Si el alta no se refleja en los próximos días, se deberá enviar un ticket a través de la plataforma Promesa.",Soporte,TICKET OAU,solucion
Validar si se ha otorgado acceso a un usuario para planes de gestion.,"Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,TICKET OAU,asesor
Validar si un usuario ya tiene acceso a un sistema o recurso.,Recordemos que todo tema de Acceso es atendido por la OAU por medio de un ticket,Soporte,ALTA,solucion
"Varios usuarios no pueden acceder a la aplicación, recibiendo un mensaje de error de contraseña o usuario incorrecto.","Se debe validar que la contraseña cuente con la estructura compartida por la OAU, se recomienda cambiar la misma desde OKTA, en caso de no solucionarse, debe compartirce un ticket con la OAU",Soporte,TICKET OAU,solucion
no puede ingresar el asesor por problemas de contraseña contraseña par.,Validar estructura de la contraseña,Soporte,TICKET OAU,solucion
se solicita el acceso a consultApp,"Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,ASESOR,asesor
solicitan validar que los usuarios tengan acceso al sistema por recien certificacion.,"Las altas recien certificadas son realizadas por la OAU de forma masiva. Si el alta no se refleja en los próximos días, se deberá enviar un ticket a través de la plataforma Promesa.",Soporte,TICKET OAU,solucion
solicitud de acceso a la plataforma de Actividad PRO,"Las altas son realizadas por la OAU de forma masiva para los casos de recien certificados. Si el alta no se refleja en los próximos días, se deberá enviar un ticket a través de la plataforma Promesa.",Soporte,TICKET OAU,solucion
solicitud de acceso a plan de gestion.,"Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,ALTA,asesor
solicitud de acceso a tarjeta digital.,"Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,TICKET OAU,asesor
solicitud de alta a una herramienta comercial en especifico,Recordemos que todo tema de acceso es atendido unicamente por la OAU a traves de un ticket por la plataforma de promesa,Nómina,TICKET OAU,solucion
¿Cuál es el procedimiento para obtener acceso a la actividad pro?,El usuario debe levantar un ticket en Promesa a la OAU,Soporte,TICKET OAU,solucion
¿Cuál es el procedimiento para solucionar problemas de accesos en Actividad Pro y Enlace?,Recordemos que todo tema de Acceso es atendido por la OAU por medio de un ticket,Soporte,TICKET OAU,solucion
¿Cuál es el proceso para obtener acceso a la plataforma Actividad Pro?,se debe compartir un ticket con la OAU para su validación,Soporte,TICKET OAU,solucion
¿Cuándo estarán disponibles los accesos para los analistas en Actividad Pro y Traspasos?,"Para la solicitud de accesos, es necesario validar con el equipo de AFORE a través de su canal oficial de soporte ""Enlace Asesoría T"", ya que el control del proceso de altas lo lleva la OAU.",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
¿Cuánto tiempo debo esperar para que se resuelva un ticket?,recordemos que la OAU atiende todo caso de acceso y puede demorar maximo 48hrs habiles en atenderlos.,Soporte,TICKET OAU,solucion
¿Cómo pueden los analistas de calidad certificados obtener acceso a la herramienta Actividad Pro?,El usuario debe levantar un ticket en Promesa a la OAU,Soporte,TICKET OAU,solucion
"Solicito su apoyo para mi vista en actividad pro ya que solo tengo vista de asesor hemos levantado ticket anteriormente sin embargo nos dijeron que en este chat es donde solicitaba el acceso como gerente, comparto el ticket levantado.","se configura perfil, favor de validar, Se sugiere validar con equipo de soporte debido a que usuario cuenta con el perfil correctamente cargado. ",Soporte,TICKET OAU,solucion
